lat,lon,URL
39.84667,-88.92639,https://en.wikipedia.org/wiki/Staley_Field
42.34000,-83.04556,https://en.wikipedia.org/wiki/Ford_Field
42.64583,-83.25500,https://en.wikipedia.org/wiki/Pontiac_Silverdome
42.33194,-83.06889,https://en.wikipedia.org/wiki/Tiger_Stadium_(Detroit)
42.415766,-83.136613,https://en.wikipedia.org/wiki/University_of_Detroit_Stadium
38.72861,-82.97833,https://en.wikipedia.org/wiki/Universal_Stadium
44.50139,-88.06222,https://en.wikipedia.org/wiki/Lambeau_Field
43.030,-87.974,https://en.wikipedia.org/wiki/Milwaukee_County_Stadium
43.036,-87.961,https://en.wikipedia.org/wiki/Marquette_Stadium
43.02194,-88.01278,https://en.wikipedia.org/wiki/Wisconsin_State_Fair_Park
43.074,-87.9205,https://en.wikipedia.org/wiki/Borchert_Field
44.5075,-87.9925,https://en.wikipedia.org/wiki/City_Stadium_(Green_Bay)
44.50417,-87.98389,https://en.wikipedia.org/wiki/Bellevue_Park_(stadium)
44.50694,-87.992583,https://en.wikipedia.org/wiki/Hagemeister_Park
44.974,-93.258,https://en.wikipedia.org/wiki/U.S._Bank_Stadium
44.976,-93.225,https://en.wikipedia.org/wiki/TCF_Bank_Stadium
44.97389,-93.25806,https://en.wikipedia.org/wiki/Hubert_H._Humphrey_Metrodome
44.85444,-93.24194,https://en.wikipedia.org/wiki/Metropolitan_Stadium
,,https://en.wikipedia.org/wiki/NFC_South
33.75556,-84.40000,https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium
33.758,-84.401,https://en.wikipedia.org/wiki/Georgia_Dome
33.739,-84.389,https://en.wikipedia.org/wiki/Atlanta%E2%80%93Fulton_County_Stadium
35.22583,-80.85278,https://en.wikipedia.org/wiki/Bank_of_America_Stadium
34.67861,-82.84306,https://en.wikipedia.org/wiki/Memorial_Stadium_(Clemson)
29.95083,-90.08111,https://en.wikipedia.org/wiki/Mercedes-Benz_Superdome
30.41194,-91.18556,https://en.wikipedia.org/wiki/Tiger_Stadium_(LSU)
29.41694,-98.47889,https://en.wikipedia.org/wiki/Alamodome
40.81222,-74.07694,https://en.wikipedia.org/wiki/Giants_Stadium
29.94278,-90.11750,https://en.wikipedia.org/wiki/Tulane_Stadium
27.97583,-82.50333,https://en.wikipedia.org/wiki/Raymond_James_Stadium
27.97889,-82.50361,https://en.wikipedia.org/wiki/Houlihan%27s_Stadium
,,https://en.wikipedia.org/wiki/NFC_West
33.528,-112.263,https://en.wikipedia.org/wiki/State_Farm_Stadium
33.42639,-111.93250,https://en.wikipedia.org/wiki/Sun_Devil_Stadium
38.62389,-90.19250,https://en.wikipedia.org/wiki/Busch_Memorial_Stadium
38.658,-90.220,https://en.wikipedia.org/wiki/Busch_Stadium_(I)
44.85444,-93.24194,https://en.wikipedia.org/wiki/Metropolitan_Stadium
41.8623,-87.6167,https://en.wikipedia.org/wiki/Soldier_Field
41.832,-87.634,https://en.wikipedia.org/wiki/Comiskey_Park
41.7814194,-87.6545389,https://en.wikipedia.org/wiki/Normal_Park
33.95345,-118.3392,https://en.wikipedia.org/wiki/SoFi_Stadium
34.01417,-118.28778,https://en.wikipedia.org/wiki/Los_Angeles_Memorial_Coliseum
38.63278,-90.18861,https://en.wikipedia.org/wiki/The_Dome_at_America%27s_Center
38.62389,-90.19250,https://en.wikipedia.org/wiki/Busch_Memorial_Stadium
33.80028,-117.88278,https://en.wikipedia.org/wiki/Anaheim_Stadium
41.51139,-81.64417,https://en.wikipedia.org/wiki/League_Park
41.50667,-81.69722,https://en.wikipedia.org/wiki/Cleveland_Stadium
41.5409,-81.5832,https://en.wikipedia.org/wiki/Shaw_Stadium
37.403,-121.970,https://en.wikipedia.org/wiki/Levi%27s_Stadium
37.71361,-122.38611,https://en.wikipedia.org/wiki/Candlestick_Park
37.767,-122.456,https://en.wikipedia.org/wiki/Kezar_Stadium
47.5952,-122.3316,https://en.wikipedia.org/wiki/CenturyLink_Field
47.65028,-122.30167,https://en.wikipedia.org/wiki/Husky_Stadium
47.59528,-122.33139,https://en.wikipedia.org/wiki/Kingdome
