original_column,URL,Capacity,Years
"73,915 (1983–1984)",https://en.wikipedia.org/wiki/Memorial_Stadium_(Clemson),"73,915",1983–1984
"57,307 (1982)",https://en.wikipedia.org/wiki/Memorial_Stadium_(Clemson),"57,307",1982
"53,306 (1978–1981)",https://en.wikipedia.org/wiki/Memorial_Stadium_(Clemson),"53,306",1978–1981
"43,451 (1963–1977)",https://en.wikipedia.org/wiki/Memorial_Stadium_(Clemson),"43,451",1963–1977
"43,309 (1960–1962)",https://en.wikipedia.org/wiki/Memorial_Stadium_(Clemson),"43,309",1960–1962
"40,000 (1958–1959)",https://en.wikipedia.org/wiki/Memorial_Stadium_(Clemson),"40,000",1958–1959
"20,500 (1942–1957)",https://en.wikipedia.org/wiki/Memorial_Stadium_(Clemson),"20,500",1942–1957
"75,523 (2017–present)",https://en.wikipedia.org/wiki/Bank_of_America_Stadium,"75,523",2017–present
"75,419 (2015–2016)",https://en.wikipedia.org/wiki/Bank_of_America_Stadium,"75,419",2015–2016
"74,455 (2014)",https://en.wikipedia.org/wiki/Bank_of_America_Stadium,"74,455",2014
"73,778 (2008–2013)",https://en.wikipedia.org/wiki/Bank_of_America_Stadium,"73,778",2008–2013
"73,504 (2007)",https://en.wikipedia.org/wiki/Bank_of_America_Stadium,"73,504",2007
"73,298 (2005–2006)",https://en.wikipedia.org/wiki/Bank_of_America_Stadium,"73,298",2005–2006
"73,250 (1998–2004)",https://en.wikipedia.org/wiki/Bank_of_America_Stadium,"73,250",1998–2004
"73,248 (1997)",https://en.wikipedia.org/wiki/Bank_of_America_Stadium,"73,248",1997
"72,685 (1996)",https://en.wikipedia.org/wiki/Bank_of_America_Stadium,"72,685",1996
"65,515",https://en.wikipedia.org/wiki/Paul_Brown_Stadium,"65,515",
"70,083 (2014–present)",https://en.wikipedia.org/wiki/Husky_Stadium,"70,083",2014–present
"70,138 (2013)",https://en.wikipedia.org/wiki/Husky_Stadium,"70,138",2013
"72,500 (1987–2011)",https://en.wikipedia.org/wiki/Husky_Stadium,"72,500",1987–2011
"58,000 (1968–1986)",https://en.wikipedia.org/wiki/Husky_Stadium,"58,000",1968–1986
"55,000 (1950–1967)",https://en.wikipedia.org/wiki/Husky_Stadium,"55,000",1950–1967
"40,000 (1936–1949)",https://en.wikipedia.org/wiki/Husky_Stadium,"40,000",1936–1949
"30,000 (1920–1935)",https://en.wikipedia.org/wiki/Husky_Stadium,"30,000",1920–1935
"63,400 (expandable to 72,200;",https://en.wikipedia.org/wiki/State_Farm_Stadium,"63,400",
"standing room to 78,600)",https://en.wikipedia.org/wiki/State_Farm_Stadium,"78,600",
"67,431",https://en.wikipedia.org/wiki/FirstEnergy_Stadium,"67,431",
"50,805",https://en.wikipedia.org/wiki/TCF_Bank_Stadium,"50,805",
"Football: 65,000 (expandable to 70,000)",https://en.wikipedia.org/wiki/Ford_Field,"65,000",
"Basketball: 78,000",https://en.wikipedia.org/wiki/Ford_Field,"78,000",
"68,500 (expandable to 75,000)",https://en.wikipedia.org/wiki/Levi%27s_Stadium,"68,500",
"82,000 (2015–present)",https://en.wikipedia.org/wiki/FedExField,"82,000",2015–present
"79,000 (2012–2015)",https://en.wikipedia.org/wiki/FedExField,"79,000",2012–2015
"83,000 (2011)",https://en.wikipedia.org/wiki/FedExField,"83,000",2011
"91,704 (2009–2010)",https://en.wikipedia.org/wiki/FedExField,"91,704",2009–2010
"91,665 (2004–2008)",https://en.wikipedia.org/wiki/FedExField,"91,665",2004–2008
"86,484 (2001–2003)",https://en.wikipedia.org/wiki/FedExField,"86,484",2001–2003
"85,407 (2000)",https://en.wikipedia.org/wiki/FedExField,"85,407",2000
"80,116 (1997–1999)",https://en.wikipedia.org/wiki/FedExField,"80,116",1997–1999
"
65,618 (2016–present) (expandable to 75,000)
65,890 (2013–2015)
65,856 (2008–2012)
65,657 (2001–2007)
66,321 (1998–2000)
",https://en.wikipedia.org/wiki/Raymond_James_Stadium,"65,618",2016–present
"27,000 (Current)",https://en.wikipedia.org/wiki/Dignity_Health_Sports_Park,"27,000",
"30,000 (Planned)",https://en.wikipedia.org/wiki/Dignity_Health_Sports_Park,"30,000",
"70,240 (expandable up to 100,240 for Super Bowl, WrestleMania, FIFA World Cup, Summer Olympics, and other major events)",https://en.wikipedia.org/wiki/SoFi_Stadium,"70,240",
"64,450 (2001–2006)",https://en.wikipedia.org/wiki/Heinz_Field,"64,450",2001–2006
"65,050 (2006–2010)",https://en.wikipedia.org/wiki/Heinz_Field,"65,050",2006–2010
"65,500 (2011–2014)",https://en.wikipedia.org/wiki/Heinz_Field,"65,500",2011–2014
"68,400 (2015–present)",https://en.wikipedia.org/wiki/Heinz_Field,"68,400",2015–present
"40,550",https://en.wikipedia.org/wiki/Vanderbilt_Stadium,"40,550",
"Football: 65,000",https://en.wikipedia.org/wiki/Allegiant_Stadium,"65,000",
"(expandable to 72,000)",https://en.wikipedia.org/wiki/Allegiant_Stadium,"72,000",
"Soccer: 61,000",https://en.wikipedia.org/wiki/Allegiant_Stadium,"61,000",
"Football: 71,228",https://en.wikipedia.org/wiki/Georgia_Dome,"71,228",
"Georgia State football: 28,155",https://en.wikipedia.org/wiki/Georgia_Dome,"28,155",
"Basketball: 71,000",https://en.wikipedia.org/wiki/Georgia_Dome,"71,000",
"Total Capacity: 80,000",https://en.wikipedia.org/wiki/Georgia_Dome,"80,000",
"60,127 (1984–1991)",https://en.wikipedia.org/wiki/RCA_Dome,"60,127",1984–1991
"60,129 (1992–1995)",https://en.wikipedia.org/wiki/RCA_Dome,"60,129",1992–1995
"60,272 (1996–1997)",https://en.wikipedia.org/wiki/RCA_Dome,"60,272",1996–1997
"60,567 (1998)",https://en.wikipedia.org/wiki/RCA_Dome,"60,567",1998
"56,127 (1999–2002)",https://en.wikipedia.org/wiki/RCA_Dome,"56,127",1999–2002
"55,506 (2003–2005)",https://en.wikipedia.org/wiki/RCA_Dome,"55,506",2003–2005
"55,531 (2006–2007)",https://en.wikipedia.org/wiki/RCA_Dome,"55,531",2006–2007
"67,700 (1999)",https://en.wikipedia.org/wiki/Nissan_Stadium,"67,700",1999
"68,498 (2000)",https://en.wikipedia.org/wiki/Nissan_Stadium,"68,498",2000
"68,798 (2001)",https://en.wikipedia.org/wiki/Nissan_Stadium,"68,798",2001
"68,804 (2002)",https://en.wikipedia.org/wiki/Nissan_Stadium,"68,804",2002
