lat,lon,URL
51.55583,-0.27972,https://en.wikipedia.org/wiki/Wembley_Stadium
51.45611,-0.34167,https://en.wikipedia.org/wiki/Twickenham_Stadium
51.60444,-0.06639,https://en.wikipedia.org/wiki/Tottenham_Hotspur_Stadium
19.30306,-99.15056,https://en.wikipedia.org/wiki/Estadio_Azteca
