Week,Day,Date,Time,Season,Game_type,Home_team,Away_team,Home_Pts,Away_Pts,Home_Yds,Away_Yds,Home_TO,Away_TO,Home_Stadium,Home_Capacity,Home_lat,Home_lon,Home_Surface,Away_Stadium,Away_lat,Away_lon,Away_Surface,Away_Capacity,Location,Stadium,Capacity,lat,lon,Surface,attendance
2,Sun,September 19,1:00PM,1999,Regular,Cincinnati Bengals,San Diego Chargers,7,34,180,266,5,0,Cinergy Field,60389,39.09667,-84.50833,Turf,SDCCU Stadium,32.78306,-117.11944,Grass,70561,Cincinnati url:https://en.wikipedia.org/wiki/Cincinnati,Cinergy Field,60389.0,39.09667,-84.50833,Turf,47660
2,Sun,September 19,1:01PM,1999,Regular,Miami Dolphins,Arizona Cardinals,19,16,304,184,4,4,Hard Rock Stadium,75192,25.95806,-80.23889,Grass,Sun Devil Stadium,33.426390000000005,-111.9325,Grass,73379,"Miami Gardens, Florida url:https://en.wikipedia.org/wiki/Miami_Gardens,_Florida",Hard Rock Stadium,75192.0,25.95806,-80.23889,Grass,73618
2,Sun,September 19,1:01PM,1999,Regular,Carolina Panthers,Jacksonville Jaguars,20,22,283,414,1,1,Bank of America Stadium,"73,250",35.22583,-80.85278000000002,Grass,TIAA Bank Field,30.323890000000002,-81.6375,Grass,73000,"Charlotte, North Carolina url:https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Bank of America Stadium,73250.0,35.22583,-80.85278000000002,Grass,64261
2,Sun,September 19,1:01PM,1999,Regular,Detroit Lions,Green Bay Packers,23,15,278,437,2,3,Pontiac Silverdome,80311,42.64583,-83.255,Turf,Lambeau Field,44.50139,-88.06222,Grass,60890,"Pontiac, Michigan url:https://en.wikipedia.org/wiki/Pontiac,_Michigan",Pontiac Silverdome,80311.0,42.64583,-83.255,Turf,76202
2,Sun,September 19,1:01PM,1999,Regular,Baltimore Ravens,Pittsburgh Steelers,20,23,292,270,3,0,M&T Bank Stadium,"69,084",39.278059999999996,-76.62278,Grass,Three Rivers Stadium,40.44667000000001,-80.01278,Turf,59600,Baltimore url:https://en.wikipedia.org/wiki/Baltimore,M&T Bank Stadium,69084.0,39.278059999999996,-76.62278,Grass,68965
2,Sun,September 19,1:02PM,1999,Regular,New England Patriots,Indianapolis Colts,31,28,400,344,1,4,Foxboro Stadium,60292,42.0927,-71.2674417,Grass,RCA Dome,39.76361,-86.16333,Turf,"56,127","Foxborough, Massachusetts url:https://en.wikipedia.org/wiki/Foxborough,_Massachusetts",Foxboro Stadium,60292.0,42.0927,-71.2674417,Grass,59640
2,Sun,September 19,1:03PM,1999,Regular,New York Giants,Washington Redskins,21,50,373,395,3,0,Giants Stadium,79469,40.81222,-74.07694000000002,Turf,FedExField,38.907779999999995,-76.86444,Grass,"80,116","East Rutherford, New Jersey",Giants Stadium,79469.0,40.81222,-74.07694000000002,Turf,73170
2,Sun,September 19,1:03PM,1999,Regular,Chicago Bears,Seattle Seahawks,13,14,311,349,1,3,Soldier Field,61500,41.8623,-87.6167,Grass,Kingdome,47.595279999999995,-122.33138999999998,Turf,66400,"Chicago, Illinois",Soldier Field,66944.0,41.8623,-87.6167,Grass,66944
2,Sun,September 19,1:03PM,1999,Regular,Philadelphia Eagles,Tampa Bay Buccaneers,5,19,150,220,1,2,Veterans Stadium,65352,39.90667,-75.17111,Turf,Raymond James Stadium,27.97583,-82.50333,Grass,65657,Philadelphia url:https://en.wikipedia.org/wiki/Philadelphia,Veterans Stadium,65352.0,39.90667,-75.17111,Turf,64285
2,Sun,September 19,4:05PM,1999,Regular,San Francisco 49ers,New Orleans Saints,28,21,311,324,1,3,Candlestick Park,70140,37.713609999999996,-122.38611000000002,Grass,Mercedes-Benz Superdome,29.95083,-90.08111,Turf,70054,"San Francisco, California",Candlestick Park,70140.0,37.713609999999996,-122.38611000000002,Grass,67685
2,Sun,September 19,4:15PM,1999,Regular,Tennessee Titans,Cleveland Browns,26,9,412,173,0,1,Nissan Stadium,"67,700",36.16639,-86.77139,Grass,FirstEnergy Stadium,41.50611,-81.69944,Grass,67895,"Nashville, Tennessee url:https://en.wikipedia.org/wiki/Nashville,_Tennessee",Nissan Stadium,67700.0,36.16639,-86.77139,Grass,65904
2,Sun,September 19,4:16PM,1999,Regular,Kansas City Chiefs,Denver Broncos,26,10,365,244,1,4,Arrowhead Stadium,"79,451",39.04889,-94.48389,Grass,Mile High Stadium,39.746109999999994,-105.02167,Grass,"76,273","Kansas City, Missouri url:https://en.wikipedia.org/wiki/Kansas_City,_Missouri",Arrowhead Stadium,79451.0,39.04889,-94.48389,Grass,78683
2,Sun,September 19,8:22PM,1999,Regular,Buffalo Bills,New York Jets,17,3,384,190,1,0,Bills Stadium,75339,42.773999999999994,-78.78699999999998,Turf,Giants Stadium,40.81222,-74.07694000000002,Turf,79469,"Orchard Park, New York url:https://en.wikipedia.org/wiki/Orchard_Park_(town),_New_York",Bills Stadium,75339.0,42.773999999999994,-78.78699999999998,Turf,68839
2,Mon,September 20,9:07PM,1999,Regular,Dallas Cowboys,Atlanta Falcons,24,7,232,324,2,4,Texas Stadium,65675,32.84,-96.911,Turf,Georgia Dome,33.758,-84.40100000000002,Turf,71149,"Irving, Texas url:https://en.wikipedia.org/wiki/Irving,_Texas",Texas Stadium,65675.0,32.84,-96.911,Turf,63663
3,Sun,September 26,1:00PM,1999,Regular,St. Louis Rams,Atlanta Falcons,35,7,442,233,0,1,Edward Jones Dome,66000,38.63278,-90.18861,Turf,Georgia Dome,33.758,-84.40100000000002,Turf,71149,"St. Louis, Missouri",Edward Jones Dome,66000.0,38.63278,-90.18861,Turf,63253
3,Sun,September 26,1:00PM,1999,Regular,Carolina Panthers,Cincinnati Bengals,27,3,343,372,2,1,Bank of America Stadium,"73,250",35.22583,-80.85278000000002,Grass,Cinergy Field,39.09667,-84.50833,Turf,60389,"Charlotte, North Carolina url:https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Bank of America Stadium,73250.0,35.22583,-80.85278000000002,Grass,61269
3,Sun,September 26,1:01PM,1999,Regular,Kansas City Chiefs,Detroit Lions,31,21,383,311,0,2,Arrowhead Stadium,"79,451",39.04889,-94.48389,Grass,Pontiac Silverdome,42.64583,-83.255,Turf,80311,"Kansas City, Missouri url:https://en.wikipedia.org/wiki/Kansas_City,_Missouri",Arrowhead Stadium,79451.0,39.04889,-94.48389,Grass,78384
