Home_team,Season,attendance,Week
Houston Oilers,1992,62193,14
Green Bay Packers,1992,49469,14
Detroit Lions,1992,49469,14
Denver Broncos,1992,74946,14
Dallas Cowboys,1992,74946,14
Chicago Bears,1992,62193,14
Cleveland Browns,1992,68368,14
Atlanta Falcons,1992,68591,14
Cincinnati Bengals,1992,68368,14
Buffalo Bills,1992,71740,15
Washington Redskins,1992,56437,15
Tampa Bay Buccaneers,1992,39056,15
Seattle Seahawks,1992,47492,15
San Francisco 49ers,1992,60685,15
San Diego Chargers,1992,50579,15
Pittsburgh Steelers,1992,52904,15
Phoenix Cardinals,1992,28452,15
Philadelphia Eagles,1992,47492,15
New York Jets,1992,33684,15
New York Giants,1992,28452,15
New Orleans Saints,1992,47335,15
New England Patriots,1992,52208,15
Minnesota Vikings,1992,60685,15
Miami Dolphins,1992,67098,15
Los Angeles Rams,1992,47335,15
Los Angeles Raiders,1992,67098,15
Kansas City Chiefs,1992,52208,15
Indianapolis Colts,1992,33684,15
Houston Oilers,1992,57285,15
Green Bay Packers,1992,57285,15
Detroit Lions,1992,65970,15
Denver Broncos,1992,71740,15
Dallas Cowboys,1992,56437,15
Chicago Bears,1992,52904,15
Cleveland Browns,1992,65970,15
Atlanta Falcons,1992,39056,15
Cincinnati Bengals,1992,50579,15
Buffalo Bills,1992,68591,16
Washington Redskins,1992,65841,16
Tampa Bay Buccaneers,1992,60519,16
Seattle Seahawks,1992,72570,16
San Francisco 49ers,1992,60519,16
San Diego Chargers,1992,40152,16
Pittsburgh Steelers,1992,53613,16
Phoenix Cardinals,1992,46763,16
Philadelphia Eagles,1992,65841,16
New York Jets,1992,68275,16
New York Giants,1992,53428,16
New Orleans Saints,1992,68591,16
New England Patriots,1992,45355,16
Minnesota Vikings,1992,53613,16
Miami Dolphins,1992,68275,16
Los Angeles Rams,1992,57796,16
Los Angeles Raiders,1992,40152,16
Kansas City Chiefs,1992,53428,16
Indianapolis Colts,1992,46763,16
Houston Oilers,1992,59898,16
Green Bay Packers,1992,57796,16
Detroit Lions,1992,72777,16
Denver Broncos,1992,72570,16
Dallas Cowboys,1992,67036,16
Chicago Bears,1992,72777,16
Cleveland Browns,1992,59898,16
Atlanta Falcons,1992,67036,16
Cincinnati Bengals,1992,45355,16
Buffalo Bills,1992,61742,17
Washington Redskins,1992,53032,17
Tampa Bay Buccaneers,1992,29645,17
Seattle Seahawks,1992,49324,17
San Francisco 49ers,1992,55907,17
San Diego Chargers,1992,49324,17
Pittsburgh Steelers,1992,53776,17
Phoenix Cardinals,1992,29645,17
Philadelphia Eagles,1992,64266,17
New York Jets,1992,45614,17
New York Giants,1992,64266,17
New Orleans Saints,1992,45614,17
New England Patriots,1992,34726,17
Minnesota Vikings,1992,61461,17
Miami Dolphins,1992,34726,17
Los Angeles Rams,1992,37706,17
Los Angeles Raiders,1992,53032,17
Kansas City Chiefs,1992,76240,17
Indianapolis Colts,1992,47837,17
Houston Oilers,1992,61742,17
Green Bay Packers,1992,61461,17
Detroit Lions,1992,55907,17
Denver Broncos,1992,76240,17
Dallas Cowboys,1992,63101,17
Chicago Bears,1992,63101,17
Cleveland Browns,1992,53776,17
Atlanta Falcons,1992,37706,17
Cincinnati Bengals,1992,47837,17
Buffalo Bills,1992,64053,2
Washington Redskins,1992,54343,2
Tampa Bay Buccaneers,1992,50051,2
Seattle Seahawks,1992,75125,2
San Francisco 49ers,1992,64053,2
San Diego Chargers,1992,74367,2
Pittsburgh Steelers,1992,56050,2
Phoenix Cardinals,1992,42533,2
Philadelphia Eagles,1992,42533,2
New York Jets,1992,56050,2
New York Giants,1992,76430,2
New Orleans Saints,1992,68591,2
New England Patriots,1992,40402,2
Minnesota Vikings,1992,57519,2
Miami Dolphins,1992,74765,2
Los Angeles Rams,1992,40402,2
Los Angeles Raiders,1992,54240,2
Kansas City Chiefs,1992,75125,2
Indianapolis Colts,1992,44851,2
Houston Oilers,1992,44851,2
Green Bay Packers,1992,50051,2
Detroit Lions,1992,57519,2
Denver Broncos,1992,74367,2
Dallas Cowboys,1992,76430,2
Chicago Bears,1992,68591,2
Cleveland Browns,1992,74765,2
Atlanta Falcons,1992,54343,2
Cincinnati Bengals,1992,54240,2
Buffalo Bills,1992,77781,3
Washington Redskins,1992,55818,3
Tampa Bay Buccaneers,1992,48113,3
Seattle Seahawks,1992,42327,3
San Francisco 49ers,1992,71020,3
San Diego Chargers,1992,46127,3
Pittsburgh Steelers,1992,46127,3
Phoenix Cardinals,1992,62575,3
