Home_team,Season,attendance,Week
Tennessee Titans,2000,68498,12
Atlanta Falcons,2000,55175,13
Washington Redskins,2000,83284,13
St. Louis Rams,2000,66064,13
Seattle Seahawks,2000,68661,13
San Francisco 49ers,2000,Bye,13
San Diego Chargers,2000,47228,13
Pittsburgh Steelers,2000,63925,13
Philadelphia Eagles,2000,83284,13
Oakland Raiders,2000,55175,13
New York Jets,2000,77354,13
New York Giants,2000,42094,13
New Orleans Saints,2000,66064,13
New England Patriots,2000,77923,13
Minnesota Vikings,2000,63878,13
Miami Dolphins,2000,56935,13
Kansas City Chiefs,2000,47228,13
Jacksonville Jaguars,2000,65454,13
Indianapolis Colts,2000,56935,13
Green Bay Packers,2000,73295,13
Detroit Lions,2000,77923,13
Denver Broncos,2000,68661,13
Dallas Cowboys,2000,63878,13
Cleveland Browns,2000,68361,13
Tampa Bay Buccaneers,2000,65546,13
Cincinnati Bengals,2000,63925,13
Chicago Bears,2000,77354,13
Carolina Panthers,2000,73295,13
Buffalo Bills,2000,65546,13
Baltimore Ravens,2000,68361,13
Arizona Cardinals,2000,42094,13
Tennessee Titans,2000,65454,13
Atlanta Falcons,2000,44680,14
Washington Redskins,2000,83485,14
St. Louis Rams,2000,73358,14
Seattle Seahawks,2000,44680,14
San Francisco 49ers,2000,57255,14
San Diego Chargers,2000,57255,14
Pittsburgh Steelers,2000,55811,14
Philadelphia Eagles,2000,65639,14
Oakland Raiders,2000,55811,14
New York Jets,2000,78138,14
New York Giants,2000,83485,14
New Orleans Saints,2000,64900,14
New England Patriots,2000,60292,14
Minnesota Vikings,2000,64214,14
Miami Dolphins,2000,73002,14
Kansas City Chiefs,2000,60292,14
Jacksonville Jaguars,2000,51262,14
Indianapolis Colts,2000,78138,14
Green Bay Packers,2000,66944,14
Detroit Lions,2000,64214,14
Denver Broncos,2000,64900,14
Dallas Cowboys,2000,65621,14
Cleveland Browns,2000,51262,14
Tampa Bay Buccaneers,2000,65621,14
Cincinnati Bengals,2000,50289,14
Chicago Bears,2000,66944,14
Carolina Panthers,2000,73358,14
Buffalo Bills,2000,73002,14
Baltimore Ravens,2000,Bye,14
Arizona Cardinals,2000,50289,14
Tennessee Titans,2000,65639,14
Atlanta Falcons,2000,Bye,15
Washington Redskins,2000,63467,15
St. Louis Rams,2000,66273,15
Seattle Seahawks,2000,75218,15
San Francisco 49ers,2000,67892,15
San Diego Chargers,2000,68805,15
Pittsburgh Steelers,2000,78164,15
Philadelphia Eagles,2000,72318,15
Oakland Raiders,2000,62632,15
New York Jets,2000,62632,15
New York Giants,2000,78164,15
New Orleans Saints,2000,67892,15
New England Patriots,2000,66944,15
Minnesota Vikings,2000,66273,15
Miami Dolphins,2000,74307,15
Kansas City Chiefs,2000,77481,15
Jacksonville Jaguars,2000,53472,15
Indianapolis Colts,2000,56671,15
Green Bay Packers,2000,59854,15
Detroit Lions,2000,59854,15
Denver Broncos,2000,75218,15
Dallas Cowboys,2000,63467,15
Cleveland Browns,2000,72318,15
Tampa Bay Buccaneers,2000,74307,15
Cincinnati Bengals,2000,68498,15
Chicago Bears,2000,66944,15
Carolina Panthers,2000,77481,15
Buffalo Bills,2000,56671,15
Baltimore Ravens,2000,68805,15
Arizona Cardinals,2000,53472,15
Tennessee Titans,2000,68498,15
Atlanta Falcons,2000,64900,16
Washington Redskins,2000,58183,16
St. Louis Rams,2000,65653,16
Seattle Seahawks,2000,68681,16
San Francisco 49ers,2000,68306,16
San Diego Chargers,2000,72159,16
Pittsburgh Steelers,2000,58183,16
Philadelphia Eagles,2000,Bye,16
Oakland Raiders,2000,68681,16
New York Jets,2000,77513,16
New York Giants,2000,61311,16
New Orleans Saints,2000,64900,16
New England Patriots,2000,47230,16
Minnesota Vikings,2000,64183,16
Miami Dolphins,2000,73884,16
Kansas City Chiefs,2000,78406,16
Jacksonville Jaguars,2000,50469,16
Indianapolis Colts,2000,73884,16
Green Bay Packers,2000,64183,16
Detroit Lions,2000,77513,16
Denver Broncos,2000,78406,16
Dallas Cowboys,2000,61311,16
Cleveland Browns,2000,72318,16
Tampa Bay Buccaneers,2000,65653,16
Cincinnati Bengals,2000,50469,16
Chicago Bears,2000,68306,16
Carolina Panthers,2000,72159,16
Buffalo Bills,2000,47230,16
Baltimore Ravens,2000,37452,16
Arizona Cardinals,2000,37452,16
Tennessee Titans,2000,72318,16
Atlanta Falcons,2000,41017,17
Washington Redskins,2000,65711,17
St. Louis Rams,2000,64900,17
Seattle Seahawks,2000,61025,17
San Francisco 49ers,2000,76098,17
San Diego Chargers,2000,50809,17
Pittsburgh Steelers,2000,50809,17
Philadelphia Eagles,2000,64902,17
Oakland Raiders,2000,60637,17
New York Jets,2000,69184,17
New York Giants,2000,77924,17
New Orleans Saints,2000,64900,17
New England Patriots,2000,60292,17
Minnesota Vikings,2000,56672,17
Miami Dolphins,2000,60292,17
Kansas City Chiefs,2000,41017,17
Jacksonville Jaguars,2000,77924,17
Indianapolis Colts,2000,56672,17
Green Bay Packers,2000,59692,17
Detroit Lions,2000,71957,17
Denver Broncos,2000,76098,17
Dallas Cowboys,2000,68498,17
Cleveland Browns,2000,Bye,17
Tampa Bay Buccaneers,2000,59692,17
Cincinnati Bengals,2000,64902,17
Chicago Bears,2000,71957,17
Carolina Panthers,2000,60637,17
Buffalo Bills,2000,61025,17
Baltimore Ravens,2000,69184,17
Arizona Cardinals,2000,65711,17
Tennessee Titans,2000,68498,17
Atlanta Falcons,2000,75466,2
Washington Redskins,2000,74159,2
St. Louis Rams,2000,64869,2
Seattle Seahawks,2000,64869,2
San Francisco 49ers,2000,66879,2
San Diego Chargers,2000,51300,2
Pittsburgh Steelers,2000,Bye,2
Philadelphia Eagles,2000,65530,2
Oakland Raiders,2000,56769,2
New York Jets,2000,77687,2
New York Giants,2000,65530,2
New Orleans Saints,2000,51300,2
New England Patriots,2000,77687,2
Minnesota Vikings,2000,64112,2
Miami Dolphins,2000,64112,2
Kansas City Chiefs,2000,68203,2
Jacksonville Jaguars,2000,68843,2
Indianapolis Colts,2000,56769,2
Green Bay Packers,2000,77722,2
Detroit Lions,2000,74159,2
Denver Broncos,2000,75466,2
Dallas Cowboys,2000,66009,2
Cleveland Browns,2000,64006,2
Tampa Bay Buccaneers,2000,65569,2
Cincinnati Bengals,2000,64006,2
Chicago Bears,2000,65569,2
Carolina Panthers,2000,66879,2
Buffalo Bills,2000,77722,2
Baltimore Ravens,2000,68843,2
Arizona Cardinals,2000,66009,2
Tennessee Titans,2000,68203,2
Atlanta Falcons,2000,73025,3
Washington Redskins,2000,84431,3
St. Louis Rams,2000,65945,3
Seattle Seahawks,2000,59513,3
San Francisco 49ers,2000,65945,3
San Diego Chargers,2000,77604,3
Pittsburgh Steelers,2000,73018,3
Philadelphia Eagles,2000,59869,3
Oakland Raiders,2000,62078,3
New York Jets,2000,77884,3
New York Giants,2000,66944,3
New Orleans Saints,2000,59513,3
New England Patriots,2000,60292,3
Minnesota Vikings,2000,60292,3
Miami Dolphins,2000,73464,3
Kansas City Chiefs,2000,77604,3
Jacksonville Jaguars,2000,45653,3
Indianapolis Colts,2000,Bye,3
Green Bay Packers,2000,59869,3
Detroit Lions,2000,76928,3
Denver Broncos,2000,62078,3
Dallas Cowboys,2000,84431,3
Cleveland Browns,2000,73018,3
Tampa Bay Buccaneers,2000,76928,3
Cincinnati Bengals,2000,45653,3
Chicago Bears,2000,66944,3
Carolina Panthers,2000,73025,3
Buffalo Bills,2000,77884,3
Baltimore Ravens,2000,73464,3
Arizona Cardinals,2000,Bye,3
Tennessee Titans,2000,Bye,3
Atlanta Falcons,2000,58761,4
Washington Redskins,2000,78216,4
St. Louis Rams,2000,58761,4
Seattle Seahawks,2000,47233,4
San Francisco 49ers,2000,64127,4
San Diego Chargers,2000,47233,4
Pittsburgh Steelers,2000,51769,4
Philadelphia Eagles,2000,64900,4
Oakland Raiders,2000,45702,4
New York Jets,2000,65619,4
New York Giants,2000,78216,4
New Orleans Saints,2000,64900,4
New England Patriots,2000,73344,4
Minnesota Vikings,2000,Bye,4
Miami Dolphins,2000,73344,4
Kansas City Chiefs,2000,74596,4
Jacksonville Jaguars,2000,56816,4
Indianapolis Colts,2000,56816,4
Green Bay Packers,2000,71801,4
Detroit Lions,2000,66944,4
Denver Broncos,2000,74596,4
Dallas Cowboys,2000,64127,4
Cleveland Browns,2000,45702,4
Tampa Bay Buccaneers,2000,65619,4
Cincinnati Bengals,2000,68481,4
Chicago Bears,2000,66944,4
Carolina Panthers,2000,Bye,4
Buffalo Bills,2000,Bye,4
Baltimore Ravens,2000,68481,4
Arizona Cardinals,2000,71801,4
Tennessee Titans,2000,51769,4
Atlanta Falcons,2000,65424,5
Washington Redskins,2000,83532,5
St. Louis Rams,2000,66010,5
Seattle Seahawks,2000,82893,5
San Francisco 49ers,2000,66985,5
San Diego Chargers,2000,66010,5
Pittsburgh Steelers,2000,64351,5
Philadelphia Eagles,2000,65424,5
Oakland Raiders,2000,Bye,5
New York Jets,2000,Bye,5
New York Giants,2000,68341,5
New Orleans Saints,2000,Bye,5
New England Patriots,2000,75684,5
Minnesota Vikings,2000,76438,5
Miami Dolphins,2000,61535,5
Kansas City Chiefs,2000,82893,5
Jacksonville Jaguars,2000,64351,5
Indianapolis Colts,2000,72617,5
Green Bay Packers,2000,59869,5
Detroit Lions,2000,76438,5
Denver Broncos,2000,75684,5
Dallas Cowboys,2000,73310,5
Cleveland Browns,2000,73018,5
Tampa Bay Buccaneers,2000,83532,5
Cincinnati Bengals,2000,61535,5
Chicago Bears,2000,59869,5
Carolina Panthers,2000,73310,5
Buffalo Bills,2000,72617,5
Baltimore Ravens,2000,73018,5
Arizona Cardinals,2000,66985,5
Tennessee Titans,2000,68341,5
Atlanta Falcons,2000,50947,6
Washington Redskins,2000,65491,6
St. Louis Rams,2000,Bye,6
Seattle Seahawks,2000,72192,6
San Francisco 49ers,2000,68344,6
San Diego Chargers,2000,56079,6
Pittsburgh Steelers,2000,78441,6
Philadelphia Eagles,2000,65491,6
Oakland Raiders,2000,68344,6
New York Jets,2000,78441,6
New York Giants,2000,50947,6
New Orleans Saints,2000,66944,6
New England Patriots,2000,60292,6
Minnesota Vikings,2000,64162,6
Miami Dolphins,2000,73901,6
Kansas City Chiefs,2000,Bye,6
Jacksonville Jaguars,2000,65194,6
Indianapolis Colts,2000,60292,6
Green Bay Packers,2000,77549,6
Detroit Lions,2000,77549,6
Denver Broncos,2000,56079,6
Dallas Cowboys,2000,Bye,6
Cleveland Browns,2000,44296,6
Tampa Bay Buccaneers,2000,64162,6
Cincinnati Bengals,2000,63406,6
Chicago Bears,2000,66944,6
Carolina Panthers,2000,72192,6
Buffalo Bills,2000,73901,6
Baltimore Ravens,2000,65194,6
Arizona Cardinals,2000,44296,6
Tennessee Titans,2000,63406,6
Atlanta Falcons,2000,66019,7
Washington Redskins,2000,83252,7
St. Louis Rams,2000,66019,7
Seattle Seahawks,2000,63593,7
San Francisco 49ers,2000,59870,7
San Diego Chargers,2000,72351,7
Pittsburgh Steelers,2000,54328,7
Philadelphia Eagles,2000,38293,7
Oakland Raiders,2000,79025,7
New York Jets,2000,60292,7
New York Giants,2000,78189,7
New Orleans Saints,2000,50015,7
New England Patriots,2000,60292,7
Minnesota Vikings,2000,66944,7
Miami Dolphins,2000,Bye,7
Kansas City Chiefs,2000,79025,7
Jacksonville Jaguars,2000,68498,7
Indianapolis Colts,2000,63593,7
Green Bay Packers,2000,59870,7
Detroit Lions,2000,Bye,7
Denver Broncos,2000,75811,7
Dallas Cowboys,2000,78189,7
Cleveland Browns,2000,75811,7
Tampa Bay Buccaneers,2000,Bye,7
Cincinnati Bengals,2000,54328,7
Chicago Bears,2000,66944,7
Carolina Panthers,2000,50015,7
Buffalo Bills,2000,72351,7
Baltimore Ravens,2000,83252,7
Arizona Cardinals,2000,38293,7
Tennessee Titans,2000,68498,7
Atlanta Falcons,2000,56508,8
Washington Redskins,2000,69061,8
St. Louis Rams,2000,79142,8
Seattle Seahawks,2000,57490,8
San Francisco 49ers,2000,73169,8
San Diego Chargers,2000,Bye,8
Pittsburgh Steelers,2000,57659,8
Philadelphia Eagles,2000,65553,8
Oakland Raiders,2000,57490,8
New York Jets,2000,78389,8
New York Giants,2000,Bye,8
New Orleans Saints,2000,56508,8
New England Patriots,2000,56828,8
Minnesota Vikings,2000,64116,8
Miami Dolphins,2000,78389,8
Kansas City Chiefs,2000,79142,8
Jacksonville Jaguars,2000,69061,8
Indianapolis Colts,2000,56828,8
Green Bay Packers,2000,Bye,8
Detroit Lions,2000,65557,8
Denver Broncos,2000,61603,8
Dallas Cowboys,2000,62981,8
Cleveland Browns,2000,57659,8
Tampa Bay Buccaneers,2000,65557,8
Cincinnati Bengals,2000,61603,8
Chicago Bears,2000,65553,8
Carolina Panthers,2000,73169,8
Buffalo Bills,2000,64116,8
Baltimore Ravens,2000,69200,8
Arizona Cardinals,2000,62981,8
Tennessee Titans,2000,69200,8
Atlanta Falcons,2000,46178,9
Washington Redskins,2000,83472,9
St. Louis Rams,2000,68109,9
Seattle Seahawks,2000,62141,9
San Francisco 49ers,2000,68109,9
San Diego Chargers,2000,66659,9
Pittsburgh Steelers,2000,69405,9
Philadelphia Eagles,2000,78087,9
Oakland Raiders,2000,66659,9
New York Jets,2000,72861,9
New York Giants,2000,78087,9
New Orleans Saints,2000,35286,9
New England Patriots,2000,Bye,9
Minnesota Vikings,2000,65589,9
Miami Dolphins,2000,73740,9
Kansas City Chiefs,2000,62141,9
Jacksonville Jaguars,2000,63554,9
Indianapolis Colts,2000,56971,9
Green Bay Packers,2000,73740,9
Detroit Lions,2000,56971,9
Denver Broncos,2000,Bye,9
Dallas Cowboys,2000,63554,9
Cleveland Browns,2000,73118,9
Tampa Bay Buccaneers,2000,65589,9
Cincinnati Bengals,2000,73118,9
Chicago Bears,2000,Bye,9
Carolina Panthers,2000,46178,9
Buffalo Bills,2000,72861,9
Baltimore Ravens,2000,69405,9
Arizona Cardinals,2000,35286,9
Tennessee Titans,2000,83472,9
San Diego Chargers,2001,60629,1
New England Patriots,2001,51521,1
Philadelphia Eagles,2001,66243,1
Oakland Raiders,2001,78844,1
New York Jets,2001,78606,1
New York Giants,2001,75735,1
New Orleans Saints,2001,71447,1
Minnesota Vikings,2001,64108,1
Kansas City Chiefs,2001,78844,1
Jacksonville Jaguars,2001,63785,1
Indianapolis Colts,2001,78606,1
San Francisco 49ers,2001,65989,1
Pittsburgh Steelers,2001,63785,1
Seattle Seahawks,2001,72318,1
Miami Dolphins,2001,68798,1
Tampa Bay Buccaneers,2001,61521,1
Green Bay Packers,2001,59523,1
Arizona Cardinals,2001,Bye,1
Atlanta Falcons,2001,65989,1
Baltimore Ravens,2001,69365,1
Buffalo Bills,2001,71447,1
St. Louis Rams,2001,66243,1
Carolina Panthers,2001,64108,1
Cincinnati Bengals,2001,51521,1
Cleveland Browns,2001,72318,1
Dallas Cowboys,2001,61521,1
Denver Broncos,2001,75735,1
Washington Redskins,2001,60629,1
Tennessee Titans,2001,68798,1
Chicago Bears,2001,69365,1
Detroit Lions,2001,59523,1
San Diego Chargers,2001,61960,10
New England Patriots,2001,60292,10
Philadelphia Eagles,2001,63204,10
Oakland Raiders,2001,61960,10
New York Jets,2001,74259,10
New York Giants,2001,64283,10
New Orleans Saints,2001,70020,10
Minnesota Vikings,2001,64283,10
Kansas City Chiefs,2001,Bye,10
Jacksonville Jaguars,2001,62644,10
Indianapolis Colts,2001,70020,10
San Francisco 49ers,2001,72665,10
Pittsburgh Steelers,2001,62644,10
Seattle Seahawks,2001,60836,10
Miami Dolphins,2001,74259,10
Tampa Bay Buccaneers,2001,65612,10
Green Bay Packers,2001,59849,10
Arizona Cardinals,2001,32322,10
Atlanta Falcons,2001,59849,10
Baltimore Ravens,2001,69353,10
Buffalo Bills,2001,60836,10
St. Louis Rams,2001,60292,10
Carolina Panthers,2001,72665,10
Cincinnati Bengals,2001,63865,10
Cleveland Browns,2001,69353,10
Dallas Cowboys,2001,63204,10
Denver Broncos,2001,74622,10
Washington Redskins,2001,74622,10
Tennessee Titans,2001,63865,10
Chicago Bears,2001,65612,10
Detroit Lions,2001,32322,10
San Diego Chargers,2001,49398,11
New England Patriots,2001,60292,11
Philadelphia Eagles,2001,65666,11
Oakland Raiders,2001,78756,11
New York Jets,2001,Bye,11
New York Giants,2001,78756,11
New Orleans Saints,2001,60292,11
Minnesota Vikings,2001,64214,11
Kansas City Chiefs,2001,77357,11
Jacksonville Jaguars,2001,53530,11
Indianapolis Colts,2001,56393,11
San Francisco 49ers,2001,56393,11
Pittsburgh Steelers,2001,68801,11
Seattle Seahawks,2001,77357,11
Miami Dolphins,2001,73063,11
Tampa Bay Buccaneers,2001,66198,11
Green Bay Packers,2001,77730,11
Arizona Cardinals,2001,49398,11
Atlanta Falcons,2001,72234,11
Baltimore Ravens,2001,53530,11
Buffalo Bills,2001,73063,11
St. Louis Rams,2001,66198,11
Carolina Panthers,2001,72234,11
Cincinnati Bengals,2001,72918,11
Cleveland Browns,2001,72918,11
Dallas Cowboys,2001,64104,11
Denver Broncos,2001,64104,11
Washington Redskins,2001,65666,11
Tennessee Titans,2001,68801,11
Chicago Bears,2001,64214,11
Detroit Lions,2001,77730,11
San Diego Chargers,2001,55466,12
New England Patriots,2001,78712,12
Philadelphia Eagles,2001,77087,12
Oakland Raiders,2001,46601,12
New York Jets,2001,78712,12
New York Giants,2001,Bye,12
New Orleans Saints,2001,70020,12
Minnesota Vikings,2001,62661,12
Kansas City Chiefs,2001,77087,12
Jacksonville Jaguars,2001,66908,12
Indianapolis Colts,2001,69382,12
San Francisco 49ers,2001,67252,12
Pittsburgh Steelers,2001,62661,12
Seattle Seahawks,2001,55466,12
Miami Dolphins,2001,73938,12
Tampa Bay Buccaneers,2001,52135,12
Green Bay Packers,2001,66908,12
Arizona Cardinals,2001,46601,12
Atlanta Falcons,2001,59318,12
Baltimore Ravens,2001,69382,12
Buffalo Bills,2001,67252,12
St. Louis Rams,2001,59318,12
Carolina Panthers,2001,70020,12
Cincinnati Bengals,2001,52135,12
Cleveland Browns,2001,72818,12
Dallas Cowboys,2001,85112,12
Denver Broncos,2001,73938,12
Washington Redskins,2001,85112,12
Tennessee Titans,2001,72818,12
Chicago Bears,2001,66944,12
Detroit Lions,2001,66944,12
San Diego Chargers,2001,65438,13
New England Patriots,2001,60292,13
Philadelphia Eagles,2001,65438,13
Oakland Raiders,2001,60784,13
New York Jets,2001,62884,13
New York Giants,2001,61821,13
New Orleans Saints,2001,68826,13
Minnesota Vikings,2001,64271,13
Kansas City Chiefs,2001,60784,13
Jacksonville Jaguars,2001,44920,13
Indianapolis Colts,2001,73858,13
San Francisco 49ers,2001,66218,13
Pittsburgh Steelers,2001,62884,13
Seattle Seahawks,2001,74524,13
Miami Dolphins,2001,73858,13
Tampa Bay Buccaneers,2001,65514,13
Green Bay Packers,2001,59869,13
Arizona Cardinals,2001,40056,13
Atlanta Falcons,2001,68826,13
Baltimore Ravens,2001,Bye,13
Buffalo Bills,2001,44549,13
St. Louis Rams,2001,66218,13
Carolina Panthers,2001,44549,13
Cincinnati Bengals,2001,44920,13
Cleveland Browns,2001,60292,13
Dallas Cowboys,2001,61821,13
Denver Broncos,2001,74524,13
Washington Redskins,2001,40056,13
Tennessee Titans,2001,64271,13
Chicago Bears,2001,59869,13
Detroit Lions,2001,65514,13
San Diego Chargers,2001,67349,14
New England Patriots,2001,45527,14
Philadelphia Eagles,2001,84936,14
Oakland Raiders,2001,67349,14
New York Jets,2001,77745,14
New York Giants,2001,77913,14
New Orleans Saints,2001,70332,14
Minnesota Vikings,2001,72190,14
Kansas City Chiefs,2001,77778,14
Jacksonville Jaguars,2001,72818,14
Indianapolis Colts,2001,55603,14
San Francisco 49ers,2001,68223,14
Pittsburgh Steelers,2001,69506,14
Seattle Seahawks,2001,63366,14
Miami Dolphins,2001,68223,14
Tampa Bay Buccaneers,2001,66944,14
Green Bay Packers,2001,68804,14
Arizona Cardinals,2001,77913,14
Atlanta Falcons,2001,55603,14
Baltimore Ravens,2001,69506,14
Buffalo Bills,2001,45527,14
St. Louis Rams,2001,70332,14
Carolina Panthers,2001,Bye,14
Cincinnati Bengals,2001,77745,14
Cleveland Browns,2001,72818,14
Dallas Cowboys,2001,63366,14
Denver Broncos,2001,77778,14
Washington Redskins,2001,84936,14
Tennessee Titans,2001,68804,14
Chicago Bears,2001,66944,14
Detroit Lions,2001,72190,14
San Diego Chargers,2001,76131,15
New England Patriots,2001,60292,15
Philadelphia Eagles,2001,68124,15
Oakland Raiders,2001,61934,15
New York Jets,2001,56302,15
New York Giants,2001,78119,15
New Orleans Saints,2001,65526,15
Minnesota Vikings,2001,64150,15
Kansas City Chiefs,2001,76131,15
Jacksonville Jaguars,2001,64150,15
Indianapolis Colts,2001,56302,15
San Francisco 49ers,2001,68124,15
Pittsburgh Steelers,2001,62809,15
Seattle Seahawks,2001,78119,15
Miami Dolphins,2001,60292,15
Tampa Bay Buccaneers,2001,65526,15
Green Bay Packers,2001,59824,15
Arizona Cardinals,2001,48883,15
Atlanta Falcons,2001,43320,15
Baltimore Ravens,2001,68987,15
Buffalo Bills,2001,43320,15
St. Louis Rams,2001,72438,15
Carolina Panthers,2001,72438,15
Cincinnati Bengals,2001,68987,15
Cleveland Browns,2001,59824,15
Dallas Cowboys,2001,48883,15
Denver Broncos,2001,Bye,15
Washington Redskins,2001,78884,15
Tennessee Titans,2001,61934,15
Chicago Bears,2001,78884,15
Detroit Lions,2001,62809,15
San Diego Chargers,2001,51412,16
New England Patriots,2001,Bye,16
Philadelphia Eagles,2001,65885,16
Oakland Raiders,2001,75582,16
New York Jets,2001,78200,16
New York Giants,2001,65885,16
New Orleans Saints,2001,70020,16
Minnesota Vikings,2001,59870,16
Kansas City Chiefs,2001,59396,16
Jacksonville Jaguars,2001,59396,16
Indianapolis Colts,2001,66084,16
San Francisco 49ers,2001,64366,16
Pittsburgh Steelers,2001,63751,16
Seattle Seahawks,2001,51412,16
Miami Dolphins,2001,73559,16
Tampa Bay Buccaneers,2001,65619,16
Green Bay Packers,2001,59870,16
Arizona Cardinals,2001,72025,16
Atlanta Falcons,2001,73559,16
Baltimore Ravens,2001,65619,16
Buffalo Bills,2001,78200,16
St. Louis Rams,2001,66084,16
Carolina Panthers,2001,72025,16
Cincinnati Bengals,2001,63751,16
Cleveland Browns,2001,68798,16
Dallas Cowboys,2001,64366,16
Denver Broncos,2001,75582,16
Washington Redskins,2001,70020,16
Tennessee Titans,2001,68798,16
Chicago Bears,2001,76067,16
Detroit Lions,2001,76067,16
San Diego Chargers,2001,Bye,17
New England Patriots,2001,71907,17
Philadelphia Eagles,2001,65541,17
Oakland Raiders,2001,62011,17
New York Jets,2001,62011,17
New York Giants,2001,78601,17
New Orleans Saints,2001,70020,17
Minnesota Vikings,2001,69465,17
Kansas City Chiefs,2001,58460,17
Jacksonville Jaguars,2001,66944,17
Indianapolis Colts,2001,56192,17
San Francisco 49ers,2001,70020,17
Pittsburgh Steelers,2001,59189,17
Seattle Seahawks,2001,58460,17
Miami Dolphins,2001,73428,17
Tampa Bay Buccaneers,2001,65541,17
Green Bay Packers,2001,78601,17
Arizona Cardinals,2001,61721,17
Atlanta Falcons,2001,66033,17
Baltimore Ravens,2001,69465,17
Buffalo Bills,2001,73428,17
St. Louis Rams,2001,66033,17
Carolina Panthers,2001,71907,17
Cincinnati Bengals,2001,68798,17
Cleveland Browns,2001,59189,17
Dallas Cowboys,2001,77512,17
Denver Broncos,2001,56192,17
Washington Redskins,2001,61721,17
Tennessee Titans,2001,68798,17
Chicago Bears,2001,66944,17
Detroit Lions,2001,77512,17
San Diego Chargers,2001,63430,2
New England Patriots,2001,60292,2
Philadelphia Eagles,2001,62826,2
Oakland Raiders,2001,73404,2
New York Jets,2001,60292,2
New York Giants,2001,77666,2
New Orleans Saints,2001,Bye,2
Minnesota Vikings,2001,66944,2
Kansas City Chiefs,2001,77666,2
Jacksonville Jaguars,2001,65994,2
Indianapolis Colts,2001,56135,2
San Francisco 49ers,2001,67536,2
Pittsburgh Steelers,2001,Bye,2
Seattle Seahawks,2001,62826,2
Miami Dolphins,2001,73404,2
Tampa Bay Buccaneers,2001,Bye,2
Green Bay Packers,2001,59771,2
Arizona Cardinals,2001,50913,2
Atlanta Falcons,2001,47804,2
Baltimore Ravens,2001,51121,2
Buffalo Bills,2001,56135,2
St. Louis Rams,2001,67536,2
Carolina Panthers,2001,47804,2
Cincinnati Bengals,2001,51121,2
Cleveland Browns,2001,73168,2
Dallas Cowboys,2001,63430,2
Denver Broncos,2001,50913,2
Washington Redskins,2001,59771,2
Tennessee Titans,2001,65994,2
Chicago Bears,2001,66944,2
Detroit Lions,2001,73168,2
San Diego Chargers,2001,56048,3
New England Patriots,2001,60292,3
Philadelphia Eagles,2001,66621,3
Oakland Raiders,2001,54629,3
New York Jets,2001,78722,3
New York Giants,2001,78451,3
New Orleans Saints,2001,78451,3
Minnesota Vikings,2001,64105,3
Kansas City Chiefs,2001,76573,3
Jacksonville Jaguars,2001,57875,3
Indianapolis Colts,2001,60292,3
San Francisco 49ers,2001,78722,3
Pittsburgh Steelers,2001,72874,3
Seattle Seahawks,2001,54629,3
Miami Dolphins,2001,66046,3
Tampa Bay Buccaneers,2001,64105,3
Green Bay Packers,2001,73120,3
Arizona Cardinals,2001,28878,3
Atlanta Falcons,2001,28878,3
Baltimore Ravens,2001,75082,3
Buffalo Bills,2001,72874,3
St. Louis Rams,2001,66046,3
Carolina Panthers,2001,73120,3
Cincinnati Bengals,2001,56048,3
Cleveland Browns,2001,57875,3
Dallas Cowboys,2001,66621,3
Denver Broncos,2001,75082,3
Washington Redskins,2001,76573,3
Tennessee Titans,2001,Bye,3
Chicago Bears,2001,Bye,3
Detroit Lions,2001,Bye,3
San Diego Chargers,2001,73018,4
New England Patriots,2001,72713,4
Philadelphia Eagles,2001,66360,4
Oakland Raiders,2001,61535,4
New York Jets,2001,72654,4
New York Giants,2001,78651,4
New Orleans Saints,2001,70020,4
Minnesota Vikings,2001,70020,4
Kansas City Chiefs,2001,75037,4
Jacksonville Jaguars,2001,54524,4
Indianapolis Colts,2001,Bye,4
San Francisco 49ers,2001,66944,4
Pittsburgh Steelers,2001,62335,4
Seattle Seahawks,2001,54524,4
Miami Dolphins,2001,72713,4
Tampa Bay Buccaneers,2001,65510,4
Green Bay Packers,2001,65510,4
Arizona Cardinals,2001,66360,4
Atlanta Falcons,2001,46483,4
Baltimore Ravens,2001,69494,4
Buffalo Bills,2001,72654,4
St. Louis Rams,2001,77765,4
Carolina Panthers,2001,66944,4
Cincinnati Bengals,2001,62335,4
Cleveland Browns,2001,73018,4
Dallas Cowboys,2001,61535,4
Denver Broncos,2001,75037,4
Washington Redskins,2001,78651,4
Tennessee Titans,2001,69494,4
Chicago Bears,2001,46483,4
Detroit Lions,2001,77765,4
San Diego Chargers,2001,60292,5
New England Patriots,2001,60292,5
Philadelphia Eagles,2001,Bye,5
Oakland Raiders,2001,56972,5
New York Jets,2001,78823,5
New York Giants,2001,65992,5
New Orleans Saints,2001,72049,5
Minnesota Vikings,2001,64048,5
Kansas City Chiefs,2001,78413,5
Jacksonville Jaguars,2001,Bye,5
Indianapolis Colts,2001,56972,5
San Francisco 49ers,2001,46727,5
Pittsburgh Steelers,2001,78413,5
Seattle Seahawks,2001,61837,5
Miami Dolphins,2001,78823,5
Tampa Bay Buccaneers,2001,68798,5
Green Bay Packers,2001,59866,5
Arizona Cardinals,2001,66944,5
Atlanta Falcons,2001,46727,5
Baltimore Ravens,2001,59866,5
Buffalo Bills,2001,Bye,5
St. Louis Rams,2001,65992,5
Carolina Panthers,2001,72049,5
