away team,Home_team,attendance,Date,Season
Philadelphia Eagles,New York Giants,78765.0,January 7,2000.0
Minnesota Vikings,New York Giants,79310.0,January 14,2000.0
Baltimore Ravens,Oakland Raiders,62784.0,January 14,2000.0
Baltimore Ravens,New York Giants,71921.0,January 28,2000.0
Tampa Bay Buccaneers,Philadelphia Eagles,65846.0,January 12,2001.0
New York Jets,Oakland Raiders,61503.0,January 12,2001.0
San Francisco 49ers,Green Bay Packers,59825.0,January 13,2001.0
Baltimore Ravens,Miami Dolphins,72251.0,January 13,2001.0
Philadelphia Eagles,Chicago Bears,65028.0,January 19,2001.0
Oakland Raiders,New England Patriots,60292.0,January 19,2001.0
Baltimore Ravens,Pittsburgh Steelers,63976.0,January 20,2001.0
Green Bay Packers,St. Louis Rams,66338.0,January 20,2001.0
New England Patriots,Pittsburgh Steelers,64704.0,January 27,2001.0
Philadelphia Eagles,St. Louis Rams,66502.0,January 27,2001.0
St. Louis Rams,New England Patriots,72965.0,February 3,2001.0
Indianapolis Colts,New York Jets,78524.0,January 4,2002.0
Atlanta Falcons,Green Bay Packers,65358.0,January 4,2002.0
Cleveland Browns,Pittsburgh Steelers,62595.0,January 5,2002.0
New York Giants,San Francisco 49ers,66318.0,January 5,2002.0
Pittsburgh Steelers,Tennessee Titans,68809.0,January 11,2002.0
Atlanta Falcons,Philadelphia Eagles,66452.0,January 11,2002.0
San Francisco 49ers,Tampa Bay Buccaneers,65599.0,January 12,2002.0
New York Jets,Oakland Raiders,62207.0,January 12,2002.0
Tampa Bay Buccaneers,Philadelphia Eagles,66713.0,January 19,2002.0
Tennessee Titans,Oakland Raiders,62544.0,January 19,2002.0
Oakland Raiders,Tampa Bay Buccaneers,67603.0,January 26,2002.0
Tennessee Titans,Baltimore Ravens,69452.0,January 3,2003.0
Dallas Cowboys,Carolina Panthers,73014.0,January 3,2003.0
Seattle Seahawks,Green Bay Packers,71457.0,January 4,2003.0
Denver Broncos,Indianapolis Colts,56586.0,January 4,2003.0
Carolina Panthers,St. Louis Rams,66165.0,January 10,2003.0
Tennessee Titans,New England Patriots,68436.0,January 10,2003.0
Indianapolis Colts,Kansas City Chiefs,79159.0,January 11,2003.0
Green Bay Packers,Philadelphia Eagles,67707.0,January 11,2003.0
Indianapolis Colts,New England Patriots,68436.0,January 18,2003.0
Carolina Panthers,Philadelphia Eagles,65158.0,January 18,2003.0
Carolina Panthers,New England Patriots,71525.0,February 1,2003.0
St. Louis Rams,Seattle Seahawks,65397.0,January 8,2004.0
New York Jets,San Diego Chargers,67536.0,January 8,2004.0
Denver Broncos,Indianapolis Colts,56609.0,January 9,2004.0
Minnesota Vikings,Green Bay Packers,71075.0,January 9,2004.0
New York Jets,Pittsburgh Steelers,64915.0,January 15,2004.0
St. Louis Rams,Atlanta Falcons,70709.0,January 15,2004.0
Minnesota Vikings,Philadelphia Eagles,67722.0,January 16,2004.0
Indianapolis Colts,New England Patriots,68756.0,January 16,2004.0
Atlanta Falcons,Philadelphia Eagles,67717.0,January 23,2004.0
New England Patriots,Pittsburgh Steelers,65242.0,January 23,2004.0
New England Patriots,Philadelphia Eagles,78125.0,February 6,2004.0
Washington Redskins,Tampa Bay Buccaneers,65514.0,January 7,2005.0
Jacksonville Jaguars,New England Patriots,68756.0,January 7,2005.0
Carolina Panthers,New York Giants,79378.0,January 8,2005.0
Pittsburgh Steelers,Cincinnati Bengals,65870.0,January 8,2005.0
Washington Redskins,Seattle Seahawks,67551.0,January 14,2005.0
New England Patriots,Denver Broncos,76238.0,January 14,2005.0
Pittsburgh Steelers,Indianapolis Colts,57449.0,January 15,2005.0
Carolina Panthers,Chicago Bears,62209.0,January 15,2005.0
Pittsburgh Steelers,Denver Broncos,76775.0,January 22,2005.0
Carolina Panthers,Seattle Seahawks,67837.0,January 22,2005.0
Seattle Seahawks,Pittsburgh Steelers,68206.0,February 5,2005.0
Kansas City Chiefs,Indianapolis Colts,57310.0,January 6,2006.0
Dallas Cowboys,Seattle Seahawks,68058.0,January 6,2006.0
New York Jets,New England Patriots,68756.0,January 7,2006.0
New York Giants,Philadelphia Eagles,69064.0,January 7,2006.0
Indianapolis Colts,Baltimore Ravens,71962.0,January 13,2006.0
Philadelphia Eagles,New Orleans Saints,70001.0,January 13,2006.0
Seattle Seahawks,Chicago Bears,62184.0,January 14,2006.0
New England Patriots,San Diego Chargers,68810.0,January 14,2006.0
New Orleans Saints,Chicago Bears,61817.0,January 21,2006.0
New England Patriots,Indianapolis Colts,57433.0,January 21,2006.0
Indianapolis Colts,Chicago Bears,71101.0,February 4,2006.0
Washington Redskins,Seattle Seahawks,68298.0,January 5,2007.0
Jacksonville Jaguars,Pittsburgh Steelers,63629.0,January 5,2007.0
New York Giants,Tampa Bay Buccaneers,65621.0,January 6,2007.0
Tennessee Titans,San Diego Chargers,65640.0,January 6,2007.0
Seattle Seahawks,Green Bay Packers,72168.0,January 12,2007.0
Jacksonville Jaguars,New England Patriots,68756.0,January 12,2007.0
San Diego Chargers,Indianapolis Colts,56930.0,January 13,2007.0
New York Giants,Dallas Cowboys,63660.0,January 13,2007.0
San Diego Chargers,New England Patriots,68756.0,January 20,2007.0
New York Giants,Green Bay Packers,72740.0,January 20,2007.0
New York Giants,New England Patriots,71101.0,February 3,2007.0
Atlanta Falcons,Arizona Cardinals,62848.0,January 3,2008.0
Indianapolis Colts,San Diego Chargers,68082.0,January 3,2008.0
Baltimore Ravens,Miami Dolphins,74240.0,January 4,2008.0
Philadelphia Eagles,Minnesota Vikings,61746.0,January 4,2008.0
Baltimore Ravens,Tennessee Titans,69143.0,January 10,2008.0
Arizona Cardinals,Carolina Panthers,73695.0,January 10,2008.0
Philadelphia Eagles,New York Giants,79193.0,January 11,2008.0
San Diego Chargers,Pittsburgh Steelers,63899.0,January 11,2008.0
Philadelphia Eagles,Arizona Cardinals,70650.0,January 18,2008.0
Baltimore Ravens,Pittsburgh Steelers,65350.0,January 18,2008.0
Pittsburgh Steelers,Arizona Cardinals,70774.0,February 1,2008.0
New York Jets,Cincinnati Bengals,63686.0,January 9,2009.0
Philadelphia Eagles,Dallas Cowboys,92951.0,January 9,2009.0
Baltimore Ravens,New England Patriots,68756.0,January 10,2009.0
Green Bay Packers,Arizona Cardinals,61926.0,January 10,2009.0
Arizona Cardinals,New Orleans Saints,70149.0,January 16,2009.0
Baltimore Ravens,Indianapolis Colts,67535.0,January 16,2009.0
Dallas Cowboys,Minnesota Vikings,63547.0,January 17,2009.0
New York Jets,San Diego Chargers,69498.0,January 17,2009.0
New York Jets,Indianapolis Colts,67650.0,January 24,2009.0
Minnesota Vikings,New Orleans Saints,71276.0,January 24,2009.0
New Orleans Saints,Indianapolis Colts,74059.0,February 7,2009.0
New Orleans Saints,Seattle Seahawks,66336.0,January 8,2010.0
New York Jets,Indianapolis Colts,65332.0,January 8,2010.0
Baltimore Ravens,Kansas City Chiefs,72190.0,January 9,2010.0
Green Bay Packers,Philadelphia Eagles,69144.0,January 9,2010.0
Baltimore Ravens,Pittsburgh Steelers,64879.0,January 15,2010.0
Green Bay Packers,Atlanta Falcons,69210.0,January 15,2010.0
Seattle Seahawks,Chicago Bears,62265.0,January 16,2010.0
New York Jets,New England Patriots,68756.0,January 16,2010.0
Green Bay Packers,Chicago Bears,62377.0,January 23,2010.0
New York Jets,Pittsburgh Steelers,66662.0,January 23,2010.0
Pittsburgh Steelers,Green Bay Packers,103219.0,February 6,2010.0
Cincinnati Bengals,Houston Texans,71725.0,January 7,2011.0
Detroit Lions,New Orleans Saints,73038.0,January 7,2011.0
Atlanta Falcons,New York Giants,79909.0,January 8,2011.0
Pittsburgh Steelers,Denver Broncos,75970.0,January 8,2011.0
New Orleans Saints,San Francisco 49ers,69732.0,January 14,2011.0
Denver Broncos,New England Patriots,68756.0,January 14,2011.0
Houston Texans,Baltimore Ravens,71547.0,January 15,2011.0
New York Giants,Green Bay Packers,72080.0,January 15,2011.0
Baltimore Ravens,New England Patriots,68756.0,January 22,2011.0
New York Giants,San Francisco 49ers,69732.0,January 22,2011.0
New York Giants,New England Patriots,68658.0,February 5,2011.0
Cincinnati Bengals,Houston Texans,71738.0,January 5,2012.0
Minnesota Vikings,Green Bay Packers,71548.0,January 5,2012.0
Indianapolis Colts,Baltimore Ravens,71379.0,January 6,2012.0
Seattle Seahawks,Washington Redskins,84325.0,January 6,2012.0
Baltimore Ravens,Denver Broncos,76732.0,January 12,2012.0
Green Bay Packers,San Francisco 49ers,69732.0,January 12,2012.0
Seattle Seahawks,Atlanta Falcons,70366.0,January 13,2012.0
Houston Texans,New England Patriots,68756.0,January 13,2012.0
San Francisco 49ers,Atlanta Falcons,70863.0,January 20,2012.0
Baltimore Ravens,New England Patriots,68756.0,January 20,2012.0
Kansas City Chiefs,Indianapolis Colts,63551.0,January 4,2013.0
New Orleans Saints,Philadelphia Eagles,69144.0,January 4,2013.0
San Diego Chargers,Cincinnati Bengals,62277.0,January 5,2013.0
San Francisco 49ers,Green Bay Packers,77525.0,January 5,2013.0
New Orleans Saints,Seattle Seahawks,68388.0,January 11,2013.0
Indianapolis Colts,New England Patriots,68756.0,January 11,2013.0
San Francisco 49ers,Carolina Panthers,73784.0,January 12,2013.0
San Diego Chargers,Denver Broncos,76969.0,January 12,2013.0
New England Patriots,Denver Broncos,77110.0,January 19,2013.0
San Francisco 49ers,Seattle Seahawks,68454.0,January 19,2013.0
Seattle Seahawks,Denver Broncos,82529.0,February 2,2013.0
Arizona Cardinals,Carolina Panthers,71849.0,January 3,2014.0
Baltimore Ravens,Pittsburgh Steelers,62780.0,January 3,2014.0
Cincinnati Bengals,Indianapolis Colts,63385.0,January 4,2014.0
Detroit Lions,Dallas Cowboys,91410.0,January 4,2014.0
Baltimore Ravens,New England Patriots,68756.0,January 10,2014.0
Carolina Panthers,Seattle Seahawks,68524.0,January 10,2014.0
